time_stamp, accel_x, accel_y, accel_z, linear_x, linear_y, linear_z, gravity_x, gravity_y, gravity_z, quat_w, quat_x, quat_y, quat_z, gyro_x, gyro_y, gyro_z, altitude, temperature, pressure, gps_nmea
107,1.58,27.93,100821.37,1.16,-0.30,-1.27,-4.52,0.31,8.69,0.19,0.14,-0.73,0.64,-41.19,-6.37,70.75,1.58,27.93,100821.37,,002*2D

91,1.58,27.93,100822.91,0.55,-0.36,-0.46,-3.71,-0.30,9.07,0.12,0.15,-0.67,0.72,-62.50,-15.13,3.19,1.58,27.93,100822.91,,002*2D

76,1.58,27.92,100823.13,-1.48,2.91,3.60,-2.30,-0.94,9.48,0.04,0.12,-0.62,0.77,31.44,10.81,51.44,1.58,27.92,100823.13,,002*2D

61,1.58,27.92,100824.17,0.20,-0.39,-0.33,-2.74,-0.89,9.37,0.04,0.14,-0.57,0.81,-8.19,20.06,39.69,1.58,27.92,100824.17,,002*2D

46,1.58,27.91,100823.25,-0.08,0.09,-0.14,-3.48,-0.52,9.15,0.07,0.17,-0.52,0.83,-3.19,29.00,16.37,1.58,27.91,100823.25,,002*2D

34,1.58,27.90,100822.93,0.44,0.94,0.23,-4.27,-0.48,8.81,0.09,0.21,-0.50,0.84,-15.13,10.94,-1.44,1.58,27.90,100822.93,,002*2D

20,1.58,27.90,100823.05,0.04,-0.79,0.34,-4.21,-0.98,8.79,0.07,0.21,-0.52,0.83,0.62,0.37,-0.62,1.58,27.90,100823.05,,002*2D

5,1.58,27.90,100822.30,-0.02,-0.28,0.37,-4.27,-1.00,8.77,0.08,0.22,-0.52,0.82,3.62,-0.37,3.25,1.58,27.90,100822.30,,002*2D

246,1.58,27.90,100822.01,-0.41,-0.19,-0.75,-5.68,-0.25,7.98,0.18,0.25,-0.60,0.74,30.37,49.19,-48.63,1.58,27.90,100822.01,,002*2D

233,1.58,27.90,100821.78,0.42,-0.01,-0.18,-6.71,0.13,7.14,0.27,0.25,-0.66,0.66,41.44,12.81,-22.25,1.58,27.90,100821.78,,002*2D

221,1.58,27.90,100822.23,0.56,-0.52,-1.02,-7.67,0.41,6.08,0.36,0.25,-0.71,0.55,63.44,43.81,-39.81,1.58,27.90,100822.23,,002*2D

207,1.58,27.91,100823.09,0.44,-0.32,0.18,-8.50,0.78,4.82,0.45,0.23,-0.73,0.46,36.50,26.94,-14.25,1.58,27.91,100823.09,,002*2D

192,1.58,27.91,100822.85,0.21,-0.25,0.21,-8.99,0.83,3.80,0.51,0.21,-0.74,0.39,21.94,2.56,-8.75,1.58,27.91,100822.85,,002*2D

177,1.58,27.92,100821.73,0.06,-0.59,-0.18,-9.28,0.80,3.03,0.55,0.19,-0.74,0.33,45.75,23.25,-11.38,1.58,27.92,100821.73,,002*2D

162,1.58,27.92,100821.32,0.06,0.27,-0.11,-9.45,1.11,2.36,0.60,0.14,-0.74,0.27,54.06,1.69,-14.44,1.58,27.92,100821.32,,002*2D

146,1.58,27.93,100820.98,0.31,0.19,0.69,-9.56,1.31,1.74,0.64,0.08,-0.74,0.20,84.25,33.13,7.94,1.58,27.93,100820.98,,002*2D

134,1.58,27.93,100821.79,0.59,-0.40,0.82,-9.74,0.94,0.58,0.69,0.03,-0.72,0.10,31.19,6.81,-14.19,1.58,27.93,100821.79,,002*2D

119,1.58,27.93,100822.25,0.38,-0.72,0.73,-9.78,0.54,0.43,0.69,0.02,-0.72,0.06,41.75,-8.19,-10.50,1.58,27.93,100822.25,,002*2D

105,1.58,27.93,100822.66,0.11,-0.21,0.30,-9.78,0.43,0.40,0.69,-0.00,-0.72,0.03,0.25,-4.12,2.50,1.58,27.93,100822.66,,002*2D

91,1.58,27.93,100822.41,0.32,-0.04,-0.16,-9.78,0.43,0.49,0.69,0.00,-0.72,0.03,4.81,-1.00,7.31,1.58,27.93,100822.41,,002*2D

75,1.58,27.93,100822.88,0.32,-0.26,0.33,-9.77,0.57,0.47,0.69,-0.01,-0.72,0.03,2.37,-1.75,0.50,1.58,27.93,100822.88,,002*2D

59,1.58,27.93,100822.23,0.21,0.00,0.17,-9.76,0.78,0.47,0.69,-0.02,-0.72,0.04,0.31,3.69,7.19,1.58,27.93,100822.23,,002*2D

46,1.58,27.93,100822.95,0.40,-0.15,-0.05,-9.75,0.92,0.30,0.70,-0.03,-0.72,0.04,9.56,-1.69,3.00,1.58,27.93,100822.95,,002*2D

32,1.58,27.94,100823.80,0.08,-0.09,0.25,-9.75,0.97,0.26,0.70,-0.05,-0.72,0.02,19.50,1.12,-0.44,1.58,27.94,100823.80,,002*2D

17,1.58,27.94,100823.72,0.10,-0.35,0.26,-9.75,0.98,0.21,0.70,-0.07,-0.71,0.00,7.69,4.25,-0.81,1.58,27.94,100823.72,,002*2D

1,1.58,27.94,100823.72,0.17,-0.08,-0.20,-9.75,0.96,0.21,0.70,-0.06,-0.71,0.01,-22.62,-8.38,5.62,1.58,27.94,100823.72,,002*2D

241,1.58,27.94,100823.73,0.09,-0.27,0.16,-9.12,1.91,3.03,0.59,0.05,-0.78,0.23,-185.69,-87.94,86.75,1.58,27.94,100823.73,,002*2D

225,1.58,27.94,100823.43,0.71,-1.48,-0.51,-6.57,-0.29,7.27,0.28,0.22,-0.76,0.55,-168.37,-112.37,78.12,1.58,27.94,100823.43,,002*2D

211,1.58,27.94,100823.66,-0.18,0.95,0.28,-5.62,-1.51,7.88,0.16,0.27,-0.68,0.66,-36.13,-26.69,19.06,1.58,27.94,100823.66,,002*2D

199,1.58,27.93,100823.24,-0.24,0.39,-0.03,-5.32,-1.96,7.99,0.12,0.28,-0.65,0.69,-23.06,-17.19,11.31,1.58,27.93,100823.24,,002*2D

185,1.58,27.93,100822.33,-0.19,0.19,-0.11,-5.22,-2.22,7.99,0.10,0.29,-0.64,0.71,-15.50,-0.37,6.50,1.58,27.93,100822.33,,002*2D

169,1.58,27.93,100822.67,-0.06,0.13,0.11,-5.18,-2.40,7.96,0.09,0.29,-0.63,0.71,-1.94,4.37,2.50,1.58,27.93,100822.67,,002*2D

154,1.58,27.93,100822.23,-0.04,0.28,0.15,-5.24,-2.35,7.94,0.09,0.30,-0.63,0.72,-3.06,-0.44,1.87,1.58,27.93,100822.23,,002*2D

138,1.58,27.93,100822.45,0.09,0.00,0.16,-5.25,-2.37,7.93,0.09,0.30,-0.62,0.72,-1.50,2.81,0.13,1.58,27.93,100822.45,,002*2D

123,1.58,27.93,100823.16,-0.19,0.14,-0.13,-5.27,-2.32,7.93,0.09,0.30,-0.63,0.72,0.88,2.19,0.25,1.58,27.93,100823.16,,235943.100,V,,,,,0.00
110,1.58,27.93,100822.72,0.00,0.01,0.17,-5.28,-2.28,7.94,0.09,0.29,-0.63,0.72,-1.12,-0.75,-1.69,1.58,27.93,100822.72,,235943.100,V,,,,,0.00
98,1.58,27.93,100822.55,0.00,0.14,0.10,-5.28,-2.27,7.94,0.09,0.29,-0.63,0.72,-0.31,0.31,-0.31,1.58,27.93,100822.55,,235943.100,V,,,,,0.00
83,1.58,27.93,100823.23,-0.02,0.07,0.10,-5.28,-2.25,7.94,0.10,0.29,-0.63,0.72,0.00,0.75,-0.62,1.58,27.93,100823.23,,235943.100,V,,,,,0.00
67,1.58,27.94,100823.36,-0.03,0.13,-0.03,-5.28,-2.23,7.95,0.10,0.29,-0.63,0.72,0.37,-0.75,0.81,1.58,27.94,100823.36,,235943.100,V,,,,,0.00
52,1.58,27.94,100823.52,-0.03,-0.03,0.05,-5.28,-2.20,7.95,0.10,0.29,-0.63,0.72,0.62,0.81,-0.37,1.58,27.94,100823.52,,235943.100,V,,,,,0.00
38,1.58,27.94,100823.95,0.04,0.00,0.11,-5.25,-2.20,7.97,0.10,0.29,-0.63,0.72,0.06,0.13,0.00,1.58,27.94,100823.95,,235943.100,V,,,,,0.00
26,1.58,27.94,100824.08,0.01,0.09,0.29,-5.22,-2.19,8.00,0.10,0.29,-0.63,0.72,0.56,-0.06,1.00,1.58,27.94,100824.08,,235943.100,V,,,,,0.00
15,1.58,27.94,100823.89,0.02,0.12,0.19,-5.17,-2.18,8.03,0.09,0.29,-0.63,0.72,0.00,-2.19,0.06,1.58,27.94,100823.89,,235943.100,V,,,,,0.00
2,1.58,27.94,100824.13,-0.01,0.05,0.17,-5.18,-2.14,8.04,0.10,0.28,-0.63,0.72,1.25,0.69,-0.50,1.58,27.94,100824.13,,235943.100,V,,,,,0.00
243,1.58,27.94,100823.99,0.00,0.09,0.03,-5.17,-2.13,8.05,0.10,0.28,-0.63,0.72,0.06,-0.81,-0.94,1.58,27.94,100823.99,,235943.100,V,,,,,0.00
229,1.58,27.94,100824.70,0.00,0.05,0.11,-5.17,-2.11,8.05,0.10,0.28,-0.63,0.72,-0.13,0.44,0.06,1.58,27.94,100824.70,,235943.100,V,,,,,0.00
214,1.58,27.94,100823.62,-0.05,0.06,0.07,-5.17,-2.09,8.06,0.10,0.28,-0.63,0.72,-0.31,-0.13,1.69,1.58,27.94,100823.62,,235943.100,V,,,,,0.00
199,1.58,27.94,100824.41,0.00,0.03,0.10,-5.17,-2.07,8.06,0.10,0.28,-0.63,0.72,-0.13,0.69,0.75,1.58,27.94,100824.41,,235943.100,V,,,,,0.00
186,1.58,27.93,100823.66,0.01,0.11,0.00,-5.16,-2.07,8.07,0.10,0.28,-0.63,0.72,-0.44,0.37,0.31,1.58,27.93,100823.66,,235943.100,V,,,,,0.00
173,1.58,27.93,100823.90,0.01,0.06,0.13,-5.16,-2.08,8.07,0.10,0.28,-0.63,0.72,0.06,0.00,-1.06,1.58,27.93,100823.90,,235943.100,V,,,,,0.00
158,1.58,27.93,100824.63,0.14,0.16,0.00,-5.15,-2.07,8.07,0.10,0.28,-0.63,0.72,0.62,-0.75,0.62,1.58,27.93,100824.63,,235943.100,V,,,,,0.00
144,1.58,27.93,100822.70,-0.02,0.10,0.26,-5.14,-2.07,8.08,0.10,0.28,-0.63,0.72,0.25,-0.25,0.69,1.58,27.93,100822.70,,235943.100,V,,,,,0.00
