hours, minutes, seconds, microseconds, altitude, temperature, pressure
Intializing Altimeter
18,43,2,622092,215.69,19.68,98394.73
18,43,3,181054,215.76,19.68,98394.80
18,43,3,729063,215.82,19.69,98393.75
18,43,4,278091,215.89,19.69,98393.90
18,43,4,827092,215.81,19.69,98394.49
18,43,5,378091,215.85,19.70,98393.45
18,43,5,946091,215.85,19.70,98393.59
18,43,6,495092,215.89,19.71,98394.27
18,43,7,44093,215.83,19.71,98394.64
18,43,7,592093,215.75,19.72,98394.77
18,43,8,140095,215.73,19.72,98394.46
18,43,8,684093,215.76,19.72,98395.02
18,43,9,234091,215.71,19.73,98395.16
18,43,9,782095,215.68,19.73,98394.91
18,43,10,330094,215.73,19.73,98394.93
18,43,10,878094,215.71,19.74,98395.27
18,43,11,436092,215.71,19.74,98394.08
18,43,11,985092,215.83,19.75,98393.71
18,43,12,534093,215.80,19.75,98394.35
18,43,13,78090,215.79,19.75,98393.72
18,43,13,627096,215.84,19.76,98394.26
18,43,14,176092,215.82,19.76,98394.35
18,43,14,725091,215.77,19.76,98394.24
18,43,15,274093,215.81,19.77,98393.73
18,43,15,843638,215.83,19.77,98394.46
18,43,16,391092,215.73,19.78,98395.02
18,43,16,944092,215.71,19.78,98395.49
18,43,17,492093,215.72,19.78,98396.28
18,43,18,40095,215.74,19.79,98395.26
18,43,18,588096,215.73,19.79,98395.09
18,43,19,162096,215.74,19.80,98394.93
18,43,19,711068,215.71,19.80,98395.39
18,43,20,260093,215.73,19.81,98395.02
18,43,20,809091,215.70,19.81,98395.44
18,43,21,358092,215.73,19.81,98395.46
18,43,21,907093,215.73,19.82,98395.27
18,43,22,456093,215.68,19.82,98395.63
18,43,23,5095,215.72,19.83,98395.69
18,43,23,554092,215.71,19.83,98395.01
18,43,24,107096,215.73,19.83,98396.21
18,43,24,651093,215.72,19.84,98394.79
18,43,25,218092,215.77,19.84,98394.32
18,43,25,762092,215.76,19.85,98395.47
18,43,26,310093,215.71,19.85,98395.90
18,43,26,865038,215.68,19.85,98395.74
18,43,27,414092,215.67,19.86,98395.05
18,43,27,963090,215.76,19.86,98395.19
18,43,28,514090,215.76,19.87,98394.81
18,43,29,63093,215.76,19.87,98394.83
18,43,29,614096,215.80,19.87,98394.58
18,43,30,163088,215.72,19.88,98395.49
18,43,30,712084,215.73,19.88,98394.78
18,43,31,261089,215.73,19.89,98395.43
18,43,31,814087,215.69,19.89,98395.68
18,43,32,363094,215.75,19.90,98394.95
18,43,32,912096,215.75,19.90,98394.71
18,43,33,464091,215.73,19.90,98394.79
18,43,34,13095,215.74,19.91,98394.91
18,43,34,598840,215.73,19.92,98395.14
18,43,35,147090,215.75,19.92,98395.10
18,43,35,695091,215.70,19.92,98395.61
18,43,36,243091,215.70,19.93,98395.73
18,43,36,791091,215.67,19.93,98395.37
18,43,37,339093,215.66,19.93,98395.24
18,43,37,887096,215.77,19.94,98394.57
18,43,38,435094,215.83,19.94,98394.16
18,43,38,986094,215.79,19.94,98394.42
18,43,39,535096,215.81,19.95,98394.23
18,43,40,83095,215.78,19.95,98394.34
18,43,40,631094,215.75,19.96,98395.33
18,43,41,179094,215.75,19.96,98395.21
18,43,41,727093,215.74,19.96,98394.84
18,43,42,294068,215.80,19.97,98394.39
18,43,42,843087,215.76,19.97,98394.91
18,43,43,391094,215.70,19.98,98395.65
18,43,43,940090,215.66,19.98,98395.18
18,43,44,513091,215.71,19.98,98395.79
18,43,45,58091,215.69,19.99,98395.08
18,43,45,606096,215.73,19.99,98394.75
18,43,46,154093,215.70,20.00,98394.96
18,43,46,708093,215.73,20.00,98395.50
18,43,47,256093,215.76,20.01,98395.42
18,43,47,804093,215.58,20.01,98396.18
18,43,48,352093,215.63,20.02,98395.98
18,43,48,900096,215.64,20.02,98396.38
18,43,49,448094,215.67,20.02,98395.75
18,43,50,11078,215.62,20.03,98396.39
18,43,50,560091,215.67,20.03,98396.16
18,43,51,109091,215.62,20.04,98396.21
18,43,51,664091,215.69,20.04,98394.75
18,43,52,213093,215.78,20.04,98394.77
18,43,52,762091,215.69,20.05,98395.52
18,43,53,311090,215.67,20.05,98395.45
18,43,53,885091,215.68,20.06,98395.52
18,43,54,431094,215.68,20.06,98395.45
18,43,54,979093,215.73,20.07,98394.84
