hours, minutes, seconds, microseconds, status, latitude, North/South, longitude, East/West
Initializing GPS
18,44,48,83090,V,,,,
18,44,48,596090,V,,,,
18,44,49,117094,V,,,,$PMTK011
18,44,49,629456,V,,,,$PMTK011
18,44,50,142092,V,,,,$PMTK011
18,44,50,655094,V,,,,$PMTK011
18,44,51,171092,V,,,,$PMTK011
18,44,51,687093,V,,,,$PMTK011
18,44,52,200094,V,,,,$PMTK011
18,44,52,713094,V,,,,$PMTK011
18,44,53,226093,V,,,,$PMTK011
18,44,53,739091,V,,,,$PMTK011
18,44,54,252091,V,,,,$PMTK011
18,44,54,765091,V,,,,$PMTK011
18,44,55,281092,V,,,,$PMTK011
18,44,55,794092,V,,,,$PMTK011
18,44,56,308090,V,,,,$PMTK011
18,44,56,825035,V,,,,$PMTK011
18,44,57,338093,V,,,,$PMTK011
18,44,57,851093,V,,,,$PMTK011
18,44,58,370094,V,,,,$PMTK011
18,44,58,883093,V,,,,$PMTK011
18,44,59,396096,V,,,,$PMTK011
18,44,59,909093,V,,,,$PMTK011
18,45,0,423093,V,,,,
18,45,0,937094,V,,,,
18,45,1,450091,V,,,,
18,45,1,966091,V,,,,
18,45,2,479093,V,,,,
18,45,2,992093,V,,,,
18,45,3,507090,V,,,,
18,45,4,23091,V,,,,
18,45,4,536632,V,,,,
18,45,5,50095,V,,,,
18,45,5,566094,V,,,,
18,45,6,79095,V,,,,
18,45,6,592096,V,,,,
18,45,7,105095,V,,,,
18,45,7,620092,V,,,,
18,45,8,133093,V,,,,
18,45,8,649093,V,,,,
18,45,9,162093,V,,,,
18,45,9,675096,V,,,,
18,45,10,188090,V,,,,
18,45,10,701096,V,,,,
18,45,11,214090,V,,,,
18,45,11,731093,V,,,,
18,45,12,245124,V,,,,
18,45,12,764091,V,,,,
18,45,13,277093,V,,,,
18,45,13,790092,V,,,,
18,45,14,303091,V,,,,
18,45,14,816091,V,,,,
18,45,15,332093,V,,,,
18,45,15,845093,V,,,,
18,45,16,358094,V,,,,
18,45,16,871094,V,,,,
18,45,17,385092,V,,,,
18,45,17,898094,V,,,,
18,45,18,410091,V,,,,
18,45,18,926091,V,,,,
18,45,19,439815,V,,,,
18,45,19,955093,V,,,,
18,45,20,468093,A,3$PMTK011,MTKGPS*08
,,
18,45,20,981093,A,3$PMTK011,MTKGPS*08
,,
18,45,21,496091,A,3$PMTK011,MTKGPS*08
,,
18,45,22,16091,A,3$PMTK011,MTKGPS*08
,,
18,45,22,529094,A,3$PMTK011,MTKGPS*08
,,
18,45,23,40055,A,3$PMTK011,MTKGPS*08
,,
18,45,23,554094,A,3$PMTK011,MTKGPS*08
,,
18,45,24,68093,MTKGPS*08
,3$PMTK011,MTKGPS*08
,,
18,45,24,581091,MTKGPS*08
,3$PMTK011,MTKGPS*08
,,
18,45,25,94092,MTKGPS*08
,3$PMTK011,MTKGPS*08
