time_stamp,altitude,temperature,pressure
near_x, linear_y, linear_z, gravity_x, gravity_y, gravity_z, quat_w, quat_x, quat_y, quat_z, gyro_x, gyro_y, gyro_z
210,2.21,2.08,9.24,-0.04,-0.06,-0.08,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,0.00,0.06,-0.06
82,2.23,2.08,9.19,-0.01,-0.06,-0.10,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,-0.06,0.25,0.06
206,2.19,2.08,9.22,-0.05,-0.05,-0.07,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,-0.06,0.06,-0.13
76,2.24,2.05,9.21,0.00,-0.08,-0.08,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,0.19,0.13,0.19
203,2.21,2.11,9.22,-0.03,-0.05,-0.08,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,0.00,-0.31,-0.06
75,2.17,2.11,9.27,-0.06,-0.03,-0.02,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,-0.06,-0.06,-0.06
200,2.23,2.10,9.22,0.00,-0.02,-0.09,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,0.06,-0.06,0.13
71,2.20,2.08,9.22,-0.03,-0.06,-0.07,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,0.06,0.00,0.00
200,2.22,2.09,9.21,-0.03,-0.05,-0.10,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,-0.06,0.00,0.00
74,2.21,2.10,9.20,-0.03,-0.04,-0.09,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,0.06,-0.06,0.00
179,2.20,2.07,9.18,-0.03,-0.06,-0.11,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,0.00,0.00,-0.06
48,2.21,2.09,9.24,-0.04,-0.05,-0.10,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,-0.06,-0.06,0.06
174,2.19,2.08,9.20,-0.04,-0.05,-0.09,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,0.00,-0.19,0.13
45,2.09,2.15,9.15,-0.15,0.00,-0.14,2.24,2.14,9.30,0.13,-0.09,0.20,0.97,0.13,-0.06,-0.06
170,2.20,2.09,9.24,-0.02,-0.01,-0.06,2.23,2.11,9.31,0.13,-0.09,0.20,0.97,-0.06,0.19,0.06
42,2.15,2.14,9.38,-0.09,0.02,0.07,2.24,2.11,9.30,0.13,-0.09,0.20,0.97,0.00,0.44,-0.06
166,2.11,2.00,9.33,-0.10,-0.02,0.00,2.23,2.12,9.31,0.13,-0.09,0.20,0.97,-0.06,0.13,-0.06
38,2.18,2.06,9.22,-0.04,-0.05,-0.08,2.23,2.12,9.31,0.13,-0.09,0.20,0.97,-0.13,-0.06,-0.06
164,2.22,2.09,9.24,0.01,0.06,-0.01,2.23,2.12,9.31,0.13,-0.09,0.20,0.97,0.00,0.00,-0.19
33,2.27,2.14,9.22,0.04,0.02,-0.08,2.23,2.12,9.31,0.13,-0.09,0.20,0.97,0.00,-0.31,0.13
160,2.31,2.18,9.25,-0.03,-0.06,-0.03,2.23,2.12,9.31,0.13,-0.09,0.20,0.97,0.00,0.13,0.06
30,2.06,2.05,9.30,-0.16,-0.07,0.00,2.23,2.12,9.31,0.13,-0.09,0.20,0.97,0.19,-0.06,0.00
135,2.12,2.00,9.15,-0.20,-0.06,-0.15,2.23,2.12,9.30,0.13,-0.09,0.20,0.97,-0.06,0.44,-0.50
5,2.16,2.04,9.38,-0.06,-0.07,0.07,2.23,2.12,9.31,0.13,-0.09,0.20,0.97,0.19,-0.25,-0.13
132,2.35,1.85,9.26,0.12,-0.22,-0.05,2.22,2.07,9.32,0.13,-0.09,0.20,0.97,0.31,-0.19,0.19
237,1.35,2.05,9.29,-0.36,0.50,0.00,1.92,1.55,9.49,0.09,-0.09,0.11,0.99,-3.75,-1.44,-15.94
,-0.03,-0.06,-0.03,2.23,2.12,9.31,0.13,-0.09,0.20,0.97,0.00,0.13,0.06
30,2.06,2.05,9.30,-0.16,-0.07,0.00,2.23,2.12,9.31,0.13,-0.09,0.20,0.97,0.19,-0.06,0.00
135,2.12,2.00,9.15,-0.20,-0.06,-0.15,2.23,2.12,9.30,0.13,-0.09,0.20,0.97,-0.06,0.44,-0.50
527.30,101678.97
15,-29.39,27.28,101678.92
163,-29.38,27.27,101678.52
56,-29.41,27.26,101679.24
203,-29.48,27.24,101681.46
82,-29.67,27.23,101681.75
223,-29.65,27.22,101680.87
116,-29.56,27.20,101679.66
8,-29.43,27.19,101680.13
156,-29.54,27.17,101681.66
48,-29.72,27.15,101682.20
197,-29.69,27.14,101681.84
89,-29.60,27.12,101681.62
237,-29.60,27.11,101681.22
129,-29.61,27.10,101680.29
22,-29.58,27.09,101681.37
170,-29.58,27.08,101681.45
62,-29.62,27.06,101680.97
210,-29.57,27.04,101680.52
102,-29.55,27.02,101680.38
250,-29.57,26.99,101681.23
142,-29.62,26.97,101682.06
22,-29.72,26.96,101682.07
149,-29.67,26.95,101681.98
32,-29.69,26.94,101682.85
180,-29.78,26.93,101683.48
72,-29.85,26.92,101684.67
220,-29.95,26.91,101685.79
113,-29.99,26.91,101685.00
31,1486.16,23.69,101868.59
43,-45.01,20.86,101867.70
55,-44.99,20.86,101865.43
68,-44.77,20.86,101861.88
80,-44.50,20.87,101855.99
92,-43.79,20.87,101848.41
103,-43.43,20.87,101843.29
115,-42.87,20.87,101839.45
127,-42.70,20.87,101834.29
149,-42.21,20.87,101828.63
254,-41.92,20.87,101827.00
104,-41.12,20.87,101816.70
209,-40.43,20.87,101811.74
79,-40.01,20.87,101799.77
185,-39.41,20.87,101792.53
34,-38.04,20.87,101773.56
140,-37.15,20.87,101765.38
9,-36.10,20.88,101756.42
115,-35.54,20.88,101740.73
220,-34.38,20.88,101737.55
91,-33.92,20.89,101722.14
218,-32.46,20.90,101723.23
66,-33.44,20.90,101731.94
192,-34.23,20.91,101728.07
62,-33.47,20.92,101731.00
189,-33.84,20.92,101734.17
59,-34.30,20.93,101739.70
165,-34.24,20.94,101734.20
32,1486.16,23.69,101785.09
44,-38.35,21.07,101781.27
56,-38.09,21.08,101788.62
143,1486.16,23.69,101783.16
154,-38.47,21.12,101791.79
143,1486.16,23.69,101815.48
154,-41.20,21.15,101821.77
144,1486.16,23.69,101847.20
156,-43.15,21.17,101840.70
168,-42.46,21.18,101838.06
180,-42.31,21.18,101836.34
193,-42.23,21.19,101838.67
205,-42.74,21.20,101839.35
216,-42.95,21.20,101840.80
228,-43.03,21.21,101843.35
240,-43.01,21.21,101846.26
28,-43.23,21.22,101845.95
153,-43.36,21.23,101845.82
24,-42.97,21.24,101839.84
149,-42.82,21.25,101837.61
19,-42.69,21.26,101834.49
144,1486.16,23.69,101832.91
155,-41.94,21.35,101829.08
167,-41.34,21.36,101820.90
